Train,Test,Actual_Train,Actual_Test,LR_Acc,LR_Precision,LR_Recall,LR_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F,NB_Acc,NB_Precision,NB_Recall,NB_F,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
50000,5000,39710,4017,0.838187702,0.846381093,0.835683034,0.840998043,0.82798108,0.834071886,0.827148438,0.830595734,0.799103809,0.808961103,0.796799224,0.802834107,0.823749066,0.86459872,0.802192782,0.832227488,0.786407767,0.695716396,0.854809437,0.767100977,0.817774459,0.80699163,0.828196059,0.817456359
100000,10000,79443,8001,0.837645294,0.842588002,0.83657396,0.839570211,0.834895638,0.844819038,0.830611748,0.837655155,0.807899013,0.817055032,0.804884005,0.810923853,0.847394076,0.836390679,0.857433291,0.846781277,0.826021747,0.792265741,0.852266667,0.821171634,0.841894763,0.858205255,0.833212996,0.845524484
150000,15000,119344,11964,0.84185891,0.844941957,0.841870456,0.84340341,0.835339351,0.840464345,0.834101382,0.837270775,0.806837178,0.808955224,0.808017227,0.808485953,0.855065196,0.845107794,0.86431479,0.854603388,0.839351387,0.784245439,0.883925234,0.831107206,0.849966566,0.813764511,0.879548306,0.845378586
200000,20000,159272,15905,0.842879598,0.849493307,0.839722978,0.844579887,0.841496385,0.849743526,0.837278107,0.843464762,0.805658598,0.812085575,0.803341584,0.807689915,0.858535052,0.856124109,0.861513282,0.858810241,0.830556429,0.734893031,0.910697674,0.813404417,0.861238604,0.837482797,0.880557748,0.858480282
250000,25000,199524,19925,0.843412798,0.848812744,0.840226123,0.844497608,0.841003764,0.84751027,0.837110341,0.842278204,0.807227102,0.812243262,0.804744888,0.808476689,0.863989962,0.88648432,0.848729017,0.867195923,0.854052698,0.890091173,0.830668537,0.85935384,0.857365119,0.910229436,0.82358807,0.864743956
300000,30000,239379,23859,0.843539126,0.850945124,0.840240092,0.845558727,0.842742781,0.850861854,0.838985138,0.84488176,0.809631586,0.819052377,0.805899222,0.812422565,0.867052265,0.857273711,0.875946567,0.866509553,0.859717507,0.827879091,0.885938335,0.855925272,0.870195733,0.84678158,0.889987747,0.867847237
350000,35000,279307,27805,0.845819097,0.851796407,0.844034753,0.847897818,0.845998921,0.853008269,0.843507684,0.848231374,0.812120122,0.820002851,0.809956344,0.814948636,0.870239166,0.850584545,0.887533472,0.868666278,0.868009351,0.879883091,0.861460078,0.870574129,0.873655817,0.866481323,0.881116347,0.873737555
400000,40000,319192,31841,0.847398009,0.855330734,0.845753793,0.850515305,0.847052542,0.855949508,0.844763359,0.850319646,0.812757137,0.821298187,0.811953264,0.816598991,0.870732703,0.870366933,0.87437061,0.872364178,0.871517854,0.883175546,0.866290362,0.874651469,0.877893282,0.876492791,0.88216977,0.879322118
450000,45000,359062,35831,0.848343613,0.855240715,0.847222979,0.851212968,0.847199353,0.854855571,0.845597039,0.8502011,0.811224917,0.819642366,0.810368275,0.814978938,0.873042896,0.873287483,0.876034882,0.874659025,0.87572214,0.88957359,0.868593532,0.878958384,0.881834166,0.889628611,0.878893298,0.884228371
500000,50000,399018,39859,0.848967611,0.854773021,0.847532749,0.851137488,0.848641461,0.854624019,0.847092995,0.850841842,0.812915527,0.819558955,0.811857319,0.815689958,0.87209915,0.897288169,0.856370876,0.876352171,0.879450061,0.891477103,0.872623851,0.881949733,0.885973055,0.876924605,0.895198499,0.885967333
550000,55000,438804,43888,0.848204521,0.854423242,0.846480447,0.850433299,0.847953883,0.854784139,0.845817338,0.850277098,0.811543019,0.81878468,0.810123192,0.814430908,0.870989792,0.896783507,0.854900443,0.875341259,0.880901385,0.863761447,0.896646998,0.879897061,0.885185016,0.874227455,0.895931577,0.884946458
600000,60000,478547,47911,0.84696625,0.854276969,0.844289101,0.84925367,0.847508923,0.855062872,0.844651467,0.849825283,0.813007451,0.82068994,0.810995299,0.81581382,0.876688026,0.883603574,0.873487079,0.878516203,0.880152783,0.909662475,0.86074364,0.884527209,0.889545198,0.894192588,0.887729961,0.890949555
650000,65000,518371,51901,0.848827576,0.854729601,0.846832519,0.850762734,0.84894318,0.855608637,0.846421415,0.850990231,0.813664477,0.819835658,0.81229173,0.816046259,0.876283694,0.856793426,0.89343217,0.874729305,0.883065837,0.851901395,0.910390459,0.880175324,0.883412651,0.920466272,0.858487203,0.888397056
700000,70000,558311,55938,0.848546605,0.85318786,0.846867504,0.850015933,0.848385713,0.853827564,0.846159265,0.849976119,0.812113411,0.817009027,0.810899471,0.813942784,0.867567664,0.9151681,0.836832185,0.874248854,0.887089277,0.883964745,0.890739149,0.887339018,0.889967464,0.892209823,0.889396677,0.890801029
750000,75000,598350,59940,0.847364031,0.85370622,0.844776707,0.84921799,0.847464131,0.85423639,0.844581313,0.849381414,0.810860861,0.816892541,0.809250263,0.813053444,0.877610944,0.8712681,0.883980501,0.877578266,0.887220554,0.893203883,0.884006165,0.888581224,0.881431431,0.938168925,0.843804017,0.888487911
800000,80000,638039,63901,0.847420228,0.854064612,0.845259282,0.849639134,0.847545422,0.854591679,0.845106696,0.849822722,0.810910627,0.817945061,0.809437609,0.813669098,0.875886136,0.890680226,0.867050976,0.878706777,0.888796732,0.88389037,0.89454032,0.889183457,0.885119169,0.925528617,0.858037998,0.890506376
850000,85000,677919,67883,0.847885332,0.854280457,0.845684545,0.849960768,0.847679095,0.854923036,0.844903732,0.849883856,0.811248766,0.818850951,0.809184321,0.813988938,0.879041881,0.874200426,0.884613111,0.879375946,0.89209375,0.881619301,0.902199904,0.891790879,0.885420503,0.838099133,0.927737722,0.88064328
900000,90000,717865,71874,0.847817013,0.854168961,0.846107686,0.850119214,0.847441356,0.853673312,0.845824353,0.849730708,0.811976514,0.817380769,0.811792375,0.814576987,0.878300915,0.895720894,0.867694524,0.881484994,0.893243732,0.900044058,0.889923494,0.894955165,0.894662882,0.887955722,0.902039218,0.894942066
950000,95000,758009,75823,0.8479617,0.8545331,0.845779767,0.850133902,0.848119964,0.854898989,0.845791855,0.850321038,0.810941271,0.816245459,0.810462944,0.813343924,0.876871134,0.899877166,0.862157899,0.880613811,0.89294805,0.886548363,0.899835535,0.893142534,0.893066748,0.871102632,0.913002986,0.891560786
1000000,100000,797823,79808,0.848523957,0.854293794,0.847128275,0.850695945,0.847922514,0.854318599,0.846112271,0.850195633,0.811522654,0.816763407,0.811369573,0.814057555,0.880375401,0.887756115,0.876944941,0.882317411,0.893594627,0.910576971,0.882512742,0.896325235,0.893569567,0.920846356,0.875005893,0.897341068
1050000,105000,837650,83748,0.849262072,0.855156813,0.848558535,0.851844897,0.849166547,0.855722331,0.84800934,0.851848377,0.81199551,0.817809091,0.812429775,0.815110558,0.880510579,0.872405099,0.889657824,0.880946999,0.894063142,0.880228092,0.907911046,0.893855283,0.895913932,0.906147647,0.890391294,0.898200376
1100000,110000,877532,87762,0.849365329,0.855472352,0.848488904,0.851966317,0.849285568,0.855742202,0.848170107,0.851939329,0.811877578,0.817490836,0.812412005,0.814943508,0.87799959,0.911758753,0.856681034,0.883362201,0.895387525,0.889765904,0.90240843,0.896042575,0.897381555,0.895500236,0.901337679,0.898409475
1150000,115000,917283,91798,0.849092573,0.855342666,0.848066181,0.851688882,0.849179721,0.855966282,0.847780712,0.851853833,0.812327066,0.818205277,0.812613459,0.815399781,0.873243426,0.921144872,0.84314536,0.880420931,0.896010806,0.912715309,0.885522939,0.898913527,0.89871239,0.897641012,0.901946803,0.899788757
1200000,120000,957318,95771,0.848973071,0.855506572,0.84789089,0.851681706,0.848931305,0.855918586,0.84753784,0.851707597,0.812156081,0.818198673,0.812507672,0.815343242,0.882490524,0.896460797,0.874798971,0.885497426,0.894822023,0.912220345,0.883975805,0.897876008,0.896576208,0.880701248,0.912215939,0.896181622
1250000,125000,997218,99804,0.848863773,0.855637076,0.847525024,0.851561731,0.848813675,0.856190796,0.847061355,0.851601609,0.811761052,0.818913521,0.811324451,0.815101322,0.881147048,0.900191825,0.869781217,0.884725273,0.896447036,0.911800186,0.886980108,0.89921891,0.898611278,0.882650741,0.914273424,0.898183831
1300000,130000,1037110,103794,0.848835193,0.855454874,0.847852691,0.851636818,0.848883365,0.855834806,0.847670656,0.851733167,0.811944814,0.819152372,0.811765813,0.815442365,0.880966144,0.897608328,0.871532389,0.884378188,0.898433435,0.91770673,0.886094756,0.90162374,0.897431451,0.909424213,0.890643895,0.899936085
1350000,135000,1077192,107764,0.848882744,0.855724395,0.847894622,0.851791516,0.848827067,0.85583411,0.847726861,0.851761195,0.81209866,0.820414358,0.811408109,0.81588638,0.880099105,0.847861466,0.909727672,0.87770574,0.898305557,0.890869859,0.907075033,0.898899416,0.89923351,0.898952219,0.902136015,0.900541303
1400000,140000,1117142,111771,0.848762201,0.855712271,0.847701551,0.851688075,0.848762201,0.855906206,0.847568002,0.851716697,0.81147167,0.820416079,0.81041449,0.815384615,0.877222177,0.831558533,0.918788351,0.872999861,0.89932988,0.917013399,0.888230472,0.902392477,0.899052527,0.892983075,0.906682419,0.899780606
1450000,145000,1157366,115756,0.848586682,0.854984328,0.847749345,0.851351466,0.848491655,0.855069501,0.847533178,0.85128466,0.811508691,0.819160534,0.811050581,0.815085385,0.882399184,0.858766013,0.904512425,0.881045797,0.900247071,0.918387163,0.888641646,0.903269584,0.899780573,0.920243936,0.886463957,0.903038155
1500000,150000,1197430,119793,0.848822552,0.854941726,0.848156253,0.851535472,0.848772466,0.855369724,0.84777785,0.851556867,0.811466446,0.819319155,0.810869813,0.815072587,0.883240256,0.898449332,0.874705515,0.88641845,0.899701986,0.914384013,0.89073299,0.902403561,0.901304751,0.899996708,0.904867513,0.902425538
