Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F,NB_Acc,NB_Precision,NB_Recall,NB_F,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
500000,50000,0.48728,0.48728,0.48728,0.48728,0.48282,0.48282,0.48282,0.48282,0.45508,0.45508,0.45508,0.45508,0.49254,0.49254,0.49254,0.49254,0.50354,0.50354,0.50354,0.50354,0.5115,0.5115,0.5115,0.5115
550000,55000,0.486545455,0.486545455,0.486545455,0.486545455,0.482145455,0.482145455,0.482145455,0.482145455,0.455381818,0.455381818,0.455381818,0.455381818,0.501181818,0.501181818,0.501181818,0.501181818,0.5084,0.5084,0.5084,0.5084,0.512854545,0.512854545,0.512854545,0.512854545
600000,60000,0.486966667,0.486966667,0.486966667,0.486966667,0.483,0.483,0.483,0.483,0.4568,0.4568,0.4568,0.4568,0.5014,0.5014,0.5014,0.5014,0.511433333,0.511433333,0.511433333,0.511433333,0.514583333,0.514583333,0.514583333,0.514583333
650000,65000,0.487507692,0.487507692,0.487507692,0.487507692,0.484953846,0.484953846,0.484953846,0.484953846,0.458584615,0.458584615,0.458584615,0.458584615,0.502215385,0.502215385,0.502215385,0.502215385,0.516661538,0.516661538,0.516661538,0.516661538,0.521015385,0.521015385,0.521015385,0.521015385
700000,70000,0.488457143,0.488457143,0.488457143,0.488457143,0.485171429,0.485171429,0.485171429,0.485171429,0.458042857,0.458042857,0.458042857,0.458042857,0.505242857,0.505242857,0.505242857,0.505242857,0.514785714,0.514785714,0.514785714,0.514785714,0.519157143,0.519157143,0.519157143,0.519157143
750000,75000,0.4888,0.4888,0.4888,0.4888,0.485466667,0.485466667,0.485466667,0.485466667,0.456946667,0.456946667,0.456946667,0.456946667,0.505773333,0.505773333,0.505773333,0.505773333,0.513026667,0.513026667,0.513026667,0.513026667,0.52116,0.52116,0.52116,0.52116
800000,80000,0.4887875,0.4887875,0.4887875,0.4887875,0.485525,0.485525,0.485525,0.485525,0.4566,0.4566,0.4566,0.4566,0.508775,0.508775,0.508775,0.508775,0.5161,0.5161,0.5161,0.5161,0.52,0.52,0.52,0.52
850000,85000,0.489905882,0.489905882,0.489905882,0.489905882,0.485717647,0.485717647,0.485717647,0.485717647,0.457552941,0.457552941,0.457552941,0.457552941,0.507447059,0.507447059,0.507447059,0.507447059,0.523094118,0.523094118,0.523094118,0.523094118,0.521647059,0.521647059,0.521647059,0.521647059
900000,90000,0.490244444,0.490244444,0.490244444,0.490244444,0.487588889,0.487588889,0.487588889,0.487588889,0.457311111,0.457311111,0.457311111,0.457311111,0.505944444,0.505944444,0.505944444,0.505944444,0.520944444,0.520944444,0.520944444,0.520944444,0.519588889,0.519588889,0.519588889,0.519588889
950000,95000,0.490284211,0.490284211,0.490284211,0.490284211,0.486989474,0.486989474,0.486989474,0.486989474,0.456936842,0.456936842,0.456936842,0.456936842,0.502189474,0.502189474,0.502189474,0.502189474,0.521052632,0.521052632,0.521052632,0.521052632,0.526589474,0.526589474,0.526589474,0.526589474
1000000,100000,0.49138,0.49138,0.49138,0.49138,0.4879,0.4879,0.4879,0.4879,0.45742,0.45742,0.45742,0.45742,0.50928,0.50928,0.50928,0.50928,0.52553,0.52553,0.52553,0.52553,0.52786,0.52786,0.52786,0.52786
1050000,105000,0.491619048,0.491619048,0.491619048,0.491619048,0.488885714,0.488885714,0.488885714,0.488885714,0.457485714,0.457485714,0.457485714,0.457485714,0.507657143,0.507657143,0.507657143,0.507657143,0.530914286,0.530914286,0.530914286,0.530914286,0.525771429,0.525771429,0.525771429,0.525771429
1100000,110000,0.491190909,0.491190909,0.491190909,0.491190909,0.488709091,0.488709091,0.488709091,0.488709091,0.457572727,0.457572727,0.457572727,0.457572727,0.512672727,0.512672727,0.512672727,0.512672727,0.529954545,0.529954545,0.529954545,0.529954545,0.530427273,0.530427273,0.530427273,0.530427273
1150000,115000,0.491243478,0.491243478,0.491243478,0.491243478,0.487634783,0.487634783,0.487634783,0.487634783,0.458121739,0.458121739,0.458121739,0.458121739,0.508278261,0.508278261,0.508278261,0.508278261,0.532695652,0.532695652,0.532695652,0.532695652,0.530278261,0.530278261,0.530278261,0.530278261
1200000,120000,0.49085,0.49085,0.49085,0.49085,0.487725,0.487725,0.487725,0.487725,0.457408333,0.457408333,0.457408333,0.457408333,0.511125,0.511125,0.511125,0.511125,0.530516667,0.530516667,0.530516667,0.530516667,0.5314,0.5314,0.5314,0.5314
1250000,125000,0.49096,0.49096,0.49096,0.49096,0.4878,0.4878,0.4878,0.4878,0.457112,0.457112,0.457112,0.457112,0.508376,0.508376,0.508376,0.508376,0.529712,0.529712,0.529712,0.529712,0.527256,0.527256,0.527256,0.527256
1300000,130000,0.491869231,0.491869231,0.491869231,0.491869231,0.488530769,0.488530769,0.488530769,0.488530769,0.457615385,0.457615385,0.457615385,0.457615385,0.5098,0.5098,0.5098,0.5098,0.533061538,0.533061538,0.533061538,0.533061538,0.532530769,0.532530769,0.532530769,0.532530769
1350000,135000,0.492007407,0.492007407,0.492007407,0.492007407,0.488822222,0.488822222,0.488822222,0.488822222,0.457525926,0.457525926,0.457525926,0.457525926,0.510822222,0.510822222,0.510822222,0.510822222,0.53497037,0.53497037,0.53497037,0.53497037,0.533014815,0.533014815,0.533014815,0.533014815
1400000,140000,0.493078571,0.493078571,0.493078571,0.493078571,0.49,0.49,0.49,0.49,0.457378571,0.457378571,0.457378571,0.457378571,0.511592857,0.511592857,0.511592857,0.511592857,0.540464286,0.540464286,0.540464286,0.540464286,0.532164286,0.532164286,0.532164286,0.532164286
1450000,145000,0.492524138,0.492524138,0.492524138,0.492524138,0.489489655,0.489489655,0.489489655,0.489489655,0.457110345,0.457110345,0.457110345,0.457110345,0.510889655,0.510889655,0.510889655,0.510889655,0.538544828,0.538544828,0.538544828,0.538544828,0.535889655,0.535889655,0.535889655,0.535889655
1500000,150000,0.49244,0.49244,0.49244,0.49244,0.489233333,0.489233333,0.489233333,0.489233333,0.457033333,0.457033333,0.457033333,0.457033333,0.515106667,0.515106667,0.515106667,0.515106667,0.537593333,0.537593333,0.537593333,0.537593333,0.53413333,0.53413333,0.53413333,0.53413333
50000,5000,0.4608,0.4608,0.4608,0.4608,0.437,0.437,0.437,0.437,0.431,0.431,0.431,0.431,0.4574,0.4574,0.4574,0.4574,0.433,0.433,0.433,0.433,0.455,0.455,0.455,0.455
100000,10000,0.4703,0.4703,0.4703,0.4703,0.4523,0.4523,0.4523,0.4523,0.4483,0.4483,0.4483,0.4483,0.4721,0.4721,0.4721,0.4721,0.4487,0.4487,0.4487,0.4487,0.4666,0.4666,0.4666,0.4666
150000,15000,0.472933333,0.472933333,0.472933333,0.472933333,0.466133333,0.466133333,0.466133333,0.466133333,0.450133333,0.450133333,0.450133333,0.450133333,0.476333333,0.476333333,0.476333333,0.476333333,0.457333333,0.457333333,0.457333333,0.457333333,0.4866,0.4866,0.4866,0.4866
200000,20000,0.47775,0.47775,0.47775,0.47775,0.4713,0.4713,0.4713,0.4713,0.45155,0.45155,0.45155,0.45155,0.4798,0.4798,0.4798,0.4798,0.47475,0.47475,0.47475,0.47475,0.48625,0.48625,0.48625,0.48625
250000,25000,0.47828,0.47828,0.47828,0.47828,0.47272,0.47272,0.47272,0.47272,0.4506,0.4506,0.4506,0.4506,0.4888,0.4888,0.4888,0.4888,0.47656,0.47656,0.47656,0.47656,0.4912,0.4912,0.4912,0.4912
300000,30000,0.477733333,0.477733333,0.477733333,0.477733333,0.4747,0.4747,0.4747,0.4747,0.453533333,0.453533333,0.453533333,0.453533333,0.490766667,0.490766667,0.490766667,0.490766667,0.4849,0.4849,0.4849,0.4849,0.4985,0.4985,0.4985,0.4985
350000,35000,0.479857143,0.479857143,0.479857143,0.479857143,0.4768,0.4768,0.4768,0.4768,0.454085714,0.454085714,0.454085714,0.454085714,0.493428571,0.493428571,0.493428571,0.493428571,0.493742857,0.493742857,0.493742857,0.493742857,0.501542857,0.501542857,0.501542857,0.501542857
400000,40000,0.483075,0.483075,0.483075,0.483075,0.478775,0.478775,0.478775,0.478775,0.453575,0.453575,0.453575,0.453575,0.496475,0.496475,0.496475,0.496475,0.4943,0.4943,0.4943,0.4943,0.508325,0.508325,0.508325,0.508325
450000,45000,0.485155556,0.485155556,0.485155556,0.485155556,0.479577778,0.479577778,0.479577778,0.479577778,0.453333333,0.453333333,0.453333333,0.453333333,0.495977778,0.495977778,0.495977778,0.495977778,0.498155556,0.498155556,0.498155556,0.498155556,0.507844444,0.507844444,0.507844444,0.507844444
2000000,200000,0.495355,0.495355,0.495355,0.495355,0.491925,0.491925,0.491925,0.491925,0.45793,0.45793,0.45793,0.45793,0.51493,0.51493,0.51493,0.51493,0.54505,0.54505,0.54505,0.54505,0.541935,0.541935,0.541935,0.541935
2500000,250000,0.495244,0.495244,0.495244,0.495244,0.49174,0.49174,0.49174,0.49174,0.457796,0.457796,0.457796,0.457796,0.512488,0.512488,0.512488,0.512488,0.547392,0.547392,0.547392,0.547392,0.541156,0.541156,0.541156,0.541156
2900000,290000,0.49532069,0.49532069,0.49532069,0.49532069,0.491458621,0.491458621,0.491458621,0.491458621,0.457541379,0.457541379,0.457541379,0.457541379,0.518834483,0.518834483,0.518834483,0.518834483,0.550651724,0.550651724,0.550651724,0.550651724,0.5444,0.5444,0.5444,0.5444
